code,suggested_name
"public int addNumbers(int a, int b) { return a + b; }",addNumbers
public double calculateArea(double radius) { return 3.14 * radius * radius; },calculateArea
public String fetchUserData(int id) { return database.query(id); },fetchUserData
"class Car { String brand; String model; Car(String brand, String model) { this.brand = brand; this.model = model; } }",Car
int x = 10;,x
int userCount = users.size();,userCount
public double getAverage(List<Integer> numbers) { return numbers.stream().mapToInt(Integer::intValue).average().orElse(0); },getAverage
"class Person { String name; int age; Person(String name, int age) { this.name = name; this.age = age; } }",Person
"List<String> items = Arrays.asList(""apple"", ""banana"", ""cherry"");",items
public double convertToCelsius(double fahrenheit) { return (fahrenheit - 32) * 5.0 / 9.0; },convertToCelsius
"public int subtractNumbers(int a, int b) { return a - b; }",subtractNumbers
"public double calculateVolume(double length, double width, double height) { return length * width * height; }",calculateVolume
public String fetchProductDetails(int productId) { return productDatabase.query(productId); },fetchProductDetails
"class Animal { String species; String name; Animal(String species, String name) { this.species = species; this.name = name; } }",Animal
int y = 20;,value
int productCount = products.size();,productCount
public double getMedian(List<Integer> numbers) { Collections.sort(numbers); int middle = numbers.size() / 2; return numbers.get(middle); },getMedian
"class Employee { String employeeId; String department; Employee(String employeeId, String department) { this.employeeId = employeeId; this.department = department; } }",Employee
"List<String> fruits = Arrays.asList(""orange"", ""grape"", ""pineapple"");",fruits
public double convertToFahrenheit(double celsius) { return (celsius * 9.0 / 5.0) + 32; },convertToFahrenheit
"public int multiplyNumbers(int a, int b) { return a * b; }",multiplyNumbers
"public double calculateHypotenuse(double a, double b) { return Math.sqrt(a * a + b * b); }",calculateHypotenuse
public String fetchOrderDetails(int orderId) { return orderDatabase.query(orderId); },fetchOrderDetails
"class Book { String title; String author; Book(String title, String author) { this.title = title; this.author = author; } }",Book
int z = 30;,value
int orderCount = orders.size();,orderCount
public double getSum(List<Double> numbers) { return numbers.stream().mapToDouble(Double::doubleValue).sum(); },getSum
"class Student { String studentId; int grade; Student(String studentId, int grade) { this.studentId = studentId; this.grade = grade; } }",Student
"List<String> colors = Arrays.asList(""red"", ""blue"", ""green"");",colors
public double convertMilesToKilometers(double miles) { return miles * 1.60934; },convertMilesToKilometers
public boolean isPrime(int number) { if (number <= 1) return false; for (int i = 2; i <= Math.sqrt(number); i++) { if (number % i == 0) return false; } return true; },isPrime
"class Rectangle { double width; double height; Rectangle(double width, double height) { this.width = width; this.height = height; } }",Rectangle
int totalScore = scores.stream().mapToInt(Integer::intValue).sum();,totalScore
"public String generateUsername(String firstName, String lastName) { return firstName.toLowerCase() + ""."" + lastName.toLowerCase(); }",generateUsername
"class BankAccount { String accountNumber; double balance; BankAccount(String accountNumber, double balance) { this.accountNumber = accountNumber; this.balance = balance; } }",BankAccount
"List<String> countries = Arrays.asList(""USA"", ""Canada"", ""Mexico"");",countries
"public double calculateDiscount(double price, double discountRate) { return price * (1 - discountRate); }",calculateDiscount
"public String formatDate(LocalDate date) { return date.format(DateTimeFormatter.ofPattern(""yyyy-MM-dd"")); }",formatDate
"class Product { String productId; double price; Product(String productId, double price) { this.productId = productId; this.price = price; } }",Product
int maxValue = numbers.stream().max(Integer::compare).orElse(0);,maxValue
"public int divideNumbers(int a, int b) { return a / b; }",divideNumbers
"public double calculatePerimeter(double side1, double side2, double side3) { return side1 + side2 + side3; }",calculatePerimeter
public String fetchCustomerName(int customerId) { return customerDatabase.query(customerId); },fetchCustomerName
"class Dog { String breed; int age; Dog(String breed, int age) { this.breed = breed; this.age = age; } }",Dog
int counter = 0;,counter
int totalUsers = userList.size();,totalUsers
"public double getProduct(List<Double> numbers) { return numbers.stream().reduce(1.0, (a, b) -> a * b); }",getProduct
"class Teacher { String teacherId; String subject; Teacher(String teacherId, String subject) { this.teacherId = teacherId; this.subject = subject; } }",Teacher
"List<String> planets = Arrays.asList(""Earth"", ""Mars"", ""Jupiter"");",planets
public double convertKilometersToMiles(double kilometers) { return kilometers / 1.60934; },convertKilometersToMiles
public boolean isEven(int number) { return number % 2 == 0; },isEven
class Circle { double radius; Circle(double radius) { this.radius = radius; } },Circle
int minValue = numbers.stream().min(Integer::compare).orElse(0);,minValue
"public String generateEmail(String firstName, String lastName, String domain) { return firstName.toLowerCase() + ""."" + lastName.toLowerCase() + ""@"" + domain; }",generateEmail
"class BankTransaction { String transactionId; double amount; BankTransaction(String transactionId, double amount) { this.transactionId = transactionId; this.amount = amount; } }",BankTransaction
"List<String> languages = Arrays.asList(""Java"", ""Python"", ""C++"");",languages
"public double calculateTax(double amount, double taxRate) { return amount * taxRate; }",calculateTax
"public String formatTime(LocalTime time) { return time.format(DateTimeFormatter.ofPattern(""HH:mm:ss "")); }",formatTime
"class Laptop { String model; double price; Laptop(String model, double price) { this.model = model; this.price = price; } }",Laptop
int totalRevenue = sales.stream().mapToDouble(Sale::getAmount).sum();,totalRevenue
public boolean isPalindrome(String text) { String reversed = new StringBuilder(text).reverse().toString(); return text.equals(reversed); },isPalindrome
"public int power(int base, int exponent) { return (int) Math.pow(base, exponent); }",power
public double calculateCircleCircumference(double radius) { return 2 * 3.14 * radius; },calculateCircleCircumference
public String fetchEmployeeDetails(int employeeId) { return employeeDatabase.query(employeeId); },fetchEmployeeDetails
"class Bird { String species; boolean canFly; Bird(String species, boolean canFly) { this.species = species; this.canFly = canFly; } }",Bird
int index = 0;,index
int totalOrders = orderList.size();,totalOrders
public double getMax(List<Double> numbers) { return numbers.stream().max(Double::compare).orElse(0.0); },getMax
"class Movie { String title; int releaseYear; Movie(String title, int releaseYear) { this.title = title; this.releaseYear = releaseYear; } }",Movie
"List<String> cities = Arrays.asList(""New York"", ""London"", ""Tokyo"");",cities
public double convertPoundsToKilograms(double pounds) { return pounds * 0.453592; },convertPoundsToKilograms
public boolean isLeapYear(int year) { return (year % 4 == 0 && year % 100 != 0) || (year % 400 == 0); },isLeapYear
"class Triangle { double base; double height; Triangle(double base, double height) { this.base = base; this.height = height; } }",Triangle
int averageScore = scores.stream().mapToInt(Integer::intValue).sum() / scores.size();,averageScore
"public String generatePassword(int length) { String chars = ""ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789""; StringBuilder password = new StringBuilder(); for (int i = 0; i < length; i++) { password.append(chars.charAt((int) (Math.random() * chars.length()))); } return password.toString(); }",generatePassword
"class Invoice { String invoiceId; double totalAmount; Invoice(String invoiceId, double totalAmount) { this.invoiceId = invoiceId; this.totalAmount = totalAmount; } }",Invoice
"List<String> fruits = Arrays.asList(""mango"", ""strawberry"", ""kiwi"");",fruits
"public double calculateSimpleInterest(double principal, double rate, double time) { return (principal * rate * time) / 100; }",calculateSimpleInterest
"public String formatDateTime(LocalDateTime dateTime) { return dateTime.format(DateTimeFormatter.ofPattern(""yyyy-MM-dd HH:mm:ss "")); }",formatDateTime
"class Smartphone { String brand; String os; Smartphone(String brand, String os) { this.brand = brand; this.os = os; } }",Smartphone
int totalExpenses = expenses.stream().mapToDouble(Expense::getAmount).sum();,totalExpenses
public boolean isPositive(int number) { return number > 0; },isPositive
"class Automobile { String brand; String model; Automobile(String brand, String model) { this.brand = brand; this.model = model; } }",Automobile
"public int addNumbers(int a, int b) { return a + b; }",addNumbers
public String fetchUserData(int id) { return database.query(id); },fetchUserData
public double getCircleArea(double radius) { return 3.14 * radius * radius; },getCircleArea
"class Car { String brand; String model; Car(String brand, String model) { this.brand = brand; this.model = model; } }",Car
int numberOfUsers = users.size();,numberOfUsers
"List<String> items = Arrays.asList(""apple"", ""banana"", ""cherry"");",items
public String retrieveUserData(int id) { return database.query(id); },retrieveUserData
public double fahrenheitToCelsius(double fahrenheit) { return (fahrenheit - 32) * 5.0 / 9.0; },fahrenheitToCelsius
public double getCircleArea(double radius) { return 3.14 * radius * radius; },getCircleArea
public double getAverage(List<Integer> numbers) { return numbers.stream().mapToInt(Integer::intValue).average().orElse(0); },getAverage
